"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"Wladimir Putin schließt russische Hackerattacken auf Bundestagswahl aus",0.00404858299595142,0.00809716599190283,0.00404858299595142,0.00404858299595142,0.0161943319838057,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.0202429149797571,0.00809716599190283,0.00404858299595142,0.0769230769230769,0.00404858299595142,0.00404858299595142,0.00809716599190283,0.00809716599190283,0.0121457489878543,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.0364372469635627,0.0161943319838057,0.00404858299595142,0.00404858299595142,0.206477732793522,0.00404858299595142,0.0121457489878543,0.00404858299595142,0.0242914979757085,0.00404858299595142,0.0121457489878543,0.214574898785425,0.00809716599190283,0.0121457489878543,0.0728744939271255,0.0121457489878543,0.00404858299595142,0.0323886639676113,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.0242914979757085,0.00404858299595142,0.00809716599190283,0.00809716599190283,0.0121457489878543,0.0121457489878543,0.00809716599190283,0.0161943319838057,0.00404858299595142
"Schulz und SPD wollen Gratis-Kita – Experten warnen vor Kosten und Folgen - FOCUS Online",0.00484261501210654,0.00242130750605327,0.00242130750605327,0.0193704600484262,0.0121065375302663,0.00242130750605327,0.00484261501210654,0.00484261501210654,0.00484261501210654,0.00484261501210654,0.00484261501210654,0.00726392251815981,0.00968523002421308,0.00242130750605327,0.00484261501210654,0.00242130750605327,0.479418886198547,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.00968523002421308,0.0121065375302663,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.00484261501210654,0.00242130750605327,0.0121065375302663,0.00242130750605327,0.00968523002421308,0.222760290556901,0.00242130750605327,0.00242130750605327,0.0290556900726392,0.00726392251815981,0.0169491525423729,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.00242130750605327,0.0169491525423729,0.00242130750605327,0.00726392251815981,0.00242130750605327,0.00242130750605327,0.0145278450363196
"Krankenkassen erzielen Überschuss von 620 Millionen Euro - SPIEGEL ONLINE",0.0128205128205128,0.00641025641025641,0.00641025641025641,0.0192307692307692,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0128205128205128,0.00641025641025641,0.0192307692307692,0.0128205128205128,0.455128205128205,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0192307692307692,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0128205128205128,0.0128205128205128,0.00641025641025641,0.00641025641025641,0.0384615384615385,0.00641025641025641,0.0576923076923077,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0128205128205128,0.0128205128205128,0.00641025641025641,0.0512820512820513,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.00641025641025641
"Bundestagswahl im News-Ticker: Jeder Dritte hält die Linke für regierungsfähig - FOCUS Online",0.00986842105263158,0.00328947368421053,0.00986842105263158,0.3125,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00986842105263158,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00657894736842105,0.00328947368421053,0.00328947368421053,0.00986842105263158,0.213815789473684,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.0427631578947368,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00986842105263158,0.00657894736842105,0.00328947368421053,0.00986842105263158,0.00986842105263158,0.0921052631578947,0.00657894736842105,0.00328947368421053,0.0164473684210526,0.00328947368421053,0.0888157894736842,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00657894736842105,0.00328947368421053,0.00657894736842105,0.00657894736842105,0.00657894736842105,0.00657894736842105,0.00328947368421053,0.00328947368421053,0.0197368421052632,0.00328947368421053
"US-Wahl 2016: Dieser NSA-Bericht soll Wahleingriffe Russlands beweisen - WELT",0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0146341463414634,0.0146341463414634,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0439024390243902,0.00975609756097561,0.00975609756097561,0.0048780487804878,0.0048780487804878,0.0195121951219512,0.0195121951219512,0.00975609756097561,0.00975609756097561,0.0439024390243902,0.0048780487804878,0.0048780487804878,0.00975609756097561,0.11219512195122,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0292682926829268,0.0195121951219512,0.024390243902439,0.0682926829268293,0.0048780487804878,0.0048780487804878,0.00975609756097561,0.0048780487804878,0.00975609756097561,0.0048780487804878,0.0341463414634146,0.11219512195122,0.00975609756097561,0.00975609756097561,0.0292682926829268,0.0146341463414634,0.0048780487804878,0.0146341463414634,0.0048780487804878,0.0048780487804878,0.180487804878049,0.0048780487804878
"Länderfinanzausgleich abgeschafft: Der Schritt in Richtung Zentralstaat - WELT",0.00667779632721202,0.00166944908180301,0.01669449081803,0.00333889816360601,0.01669449081803,0.00667779632721202,0.00333889816360601,0.00166944908180301,0.010016694490818,0.00834724540901502,0.00333889816360601,0.00166944908180301,0.011686143572621,0.0250417362270451,0.00834724540901502,0.215358931552588,0.146911519198664,0.010016694490818,0.00166944908180301,0.00166944908180301,0.00333889816360601,0.0183639398998331,0.00333889816360601,0.00166944908180301,0.00333889816360601,0.00166944908180301,0.00166944908180301,0.011686143572621,0.011686143572621,0.00333889816360601,0.00667779632721202,0.317195325542571,0.013355592654424,0.010016694490818,0.00166944908180301,0.00333889816360601,0.0233722871452421,0.00166944908180301,0.00333889816360601,0.00333889816360601,0.00166944908180301,0.011686143572621,0.00166944908180301,0.01669449081803,0.011686143572621,0.00166944908180301,0.00166944908180301,0.00500834724540901,0.00166944908180301,0.00166944908180301
"Die neuen Traummaße der FDP",0.0242424242424242,0.0121212121212121,0.0181818181818182,0.00606060606060606,0.0242424242424242,0.0181818181818182,0.00606060606060606,0.00606060606060606,0.0484848484848485,0.00606060606060606,0.0181818181818182,0.0121212121212121,0.0121212121212121,0.00606060606060606,0.00606060606060606,0.0121212121212121,0.0666666666666667,0.0121212121212121,0.0181818181818182,0.00606060606060606,0.00606060606060606,0.00606060606060606,0.0121212121212121,0.0181818181818182,0.00606060606060606,0.0242424242424242,0.16969696969697,0.0121212121212121,0.00606060606060606,0.00606060606060606,0.0121212121212121,0.0484848484848485,0.00606060606060606,0.0121212121212121,0.00606060606060606,0.0121212121212121,0.096969696969697,0.0121212121212121,0.0181818181818182,0.0121212121212121,0.0121212121212121,0.0363636363636364,0.00606060606060606,0.00606060606060606,0.0181818181818182,0.0121212121212121,0.0121212121212121,0.00606060606060606,0.0424242424242424,0.00606060606060606
"Netzwerk Recherche: Highlights der Jahreskonferenz 2017 im Livestream - SPIEGEL ONLINE",0.020979020979021,0.00699300699300699,0.013986013986014,0.00599400599400599,0.000999000999000999,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00699300699300699,0.003996003996004,0.011988011988012,0.000999000999000999,0.001998001998002,0.00599400599400599,0.000999000999000999,0.002997002997003,0.001998001998002,0.003996003996004,0.003996003996004,0.010989010989011,0.000999000999000999,0.002997002997003,0.002997002997003,0.003996003996004,0.011988011988012,0.000999000999000999,0.00699300699300699,0.001998001998002,0.014985014985015,0.004995004995005,0.324675324675325,0.002997002997003,0.012987012987013,0.004995004995005,0.001998001998002,0.002997002997003,0.00899100899100899,0.002997002997003,0.001998001998002,0.004995004995005,0.000999000999000999,0.002997002997003,0.001998001998002,0.004995004995005,0.001998001998002,0.002997002997003,0.000999000999000999,0.446553446553447,0.001998001998002
"Nachrichten am Morgen: Die News in Echtzeit",0.00113250283125708,0.0135900339750849,0.00792751981879955,0.00113250283125708,0.00113250283125708,0.00453001132502831,0.0101925254813137,0.00226500566251416,0.00113250283125708,0.00566251415628539,0.00339750849377123,0.0373725934314836,0.00226500566251416,0.0113250283125708,0.00339750849377123,0.00453001132502831,0.0215175537938845,0.0181200453001133,0.00226500566251416,0.028312570781427,0.00339750849377123,0.0271800679501699,0.00679501698754247,0.00226500566251416,0.0158550396375991,0.0226500566251416,0.0158550396375991,0.00906002265005663,0.00453001132502831,0.00566251415628539,0.0566251415628539,0.139297848244621,0.00113250283125708,0.00453001132502831,0.00453001132502831,0.00226500566251416,0.00566251415628539,0.0113250283125708,0.00679501698754247,0.167610419026048,0.00113250283125708,0.00906002265005663,0.00226500566251416,0.0124575311438279,0.0113250283125708,0.0169875424688562,0.00453001132502831,0.0169875424688562,0.00906002265005663,0.221970554926387
"Linke und SPD: Bernd Riexinger wirft Martin Schulz Täuschung vor - SPIEGEL ONLINE",0.0031055900621118,0.0062111801242236,0.0093167701863354,0.0372670807453416,0.0031055900621118,0.0031055900621118,0.0093167701863354,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0031055900621118,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.0062111801242236,0.347826086956522,0.0031055900621118,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.0062111801242236,0.0062111801242236,0.0031055900621118,0.0031055900621118,0.0062111801242236,0.015527950310559,0.0031055900621118,0.0093167701863354,0.0527950310559006,0.0279503105590062,0.0031055900621118,0.0745341614906832,0.0031055900621118,0.201863354037267,0.0031055900621118,0.0031055900621118,0.0248447204968944,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.0031055900621118,0.0062111801242236,0.0062111801242236,0.0031055900621118,0.0124223602484472,0.0031055900621118,0.0031055900621118
