"","V1"
"639",25
"640",22
"641",48
"642",12
"643",37
"644",21
"645",32
"646",32
"647",32
"648",32
"649",7
"650",47
"651",17
"652",32
"653",14
"654",32
"655",40
"656",12
"657",47
"658",12
"659",47
"660",3
"661",3
"662",21
"663",22
"664",32
"665",12
"666",21
"667",22
"668",29
"669",48
"670",1
"671",35
"672",21
"673",20
"674",25
"675",12
"676",32
"677",4
"678",1
"679",32
"680",40
"681",35
"682",40
"683",22
"684",17
"685",12
"686",12
"687",12
"688",12
"689",32
"690",4
"691",21
"692",21
"693",21
"694",21
"695",21
"696",35
"697",4
"698",21
"699",32
"700",4
"701",17
"702",1
"703",32
"704",4
"705",32
"706",35
"707",12
"708",12
"709",17
"710",21
"711",47
"712",12
"713",12
"714",21
"715",47
"716",21
"717",34
"718",4
"719",45
"720",21
"721",35
"722",32
"723",19
"724",4
"725",12
"726",12
"727",12
"728",4
"729",11
"730",48
"731",12
"732",27
"733",12
"734",4
"735",21
"736",35
"737",19
"738",22
"739",49
"740",3
"741",32
"742",32
"743",32
"744",14
"745",25
"746",29
"747",47
"748",32
"749",33
"750",9
"751",49
"752",22
"753",35
"754",32
"755",32
"756",47
"757",12
"758",27
"759",47
"760",17
"761",32
"762",21
"763",32
"764",21
"765",4
"766",5
"767",28
"768",17
"769",32
"770",34
"771",3
"772",12
"773",32
"774",49
"775",32
"776",32
"777",32
"778",21
"779",47
"780",32
"781",27
"782",12
"783",4
"784",4
"785",4
"786",32
"787",32
"788",12
"789",29
"790",3
"791",12
"792",4
"793",12
"794",49
"795",32
"796",25
"797",24
"798",25
"799",49
"800",12
"801",32
"802",21
"803",40
"804",22
"805",38
"806",21
"807",32
"808",17
"809",12
"810",12
"811",32
"812",19
"813",12
"814",4
"815",50
"816",4
"817",21
"818",4
"819",40
"820",32
"821",4
"822",4
"823",35
"824",32
"825",32
"826",38
"827",32
"828",3
"829",12
"830",12
"831",21
"832",4
"833",12
"834",33
"835",32
"836",22
"837",32
"838",13
"839",32
"840",32
"841",12
"842",26
"843",21
"844",22
"845",32
"846",32
"847",21
"848",13
"849",32
"850",13
"851",32
"852",12
"853",40
"854",35
"855",17
"856",32
"857",32
"858",32
"859",13
"860",25
"861",12
"862",13
"863",47
"864",32
"865",32
"866",13
"867",13
"868",32
"869",33
"870",29
"871",3
"872",17
"873",4
"874",35
"875",2
"876",21
"877",13
"878",32
"879",12
"880",2
"881",33
"882",32
"883",21
"884",17
"885",22
"886",32
"887",24
"888",35
"889",4
"890",32
"891",32
"892",32
"893",35
"894",37
"895",3
"896",4
"897",32
"898",12
"899",32
"900",32
"901",4
"902",32
"903",32
"904",12
"905",12
"906",12
"907",35
"908",12
"909",35
"910",12
"911",32
"912",14
"913",45
"914",34
"915",35
"916",14
"917",14
"918",32
"919",49
"920",12
"921",12
"922",32
"923",32
"924",4
"925",32
"926",32
"927",35
"928",43
"929",49
"930",32
"931",29
"932",29
"933",15
"934",32
"935",4
"936",32
"937",35
"938",35
"939",32
"940",3
"941",50
"942",32
"943",32
"944",35
"945",21
"946",48
"947",12
"948",35
"949",21
"950",35
"951",32
"952",35
"953",32
"954",4
"955",12
"956",32
"957",35
"958",3
"959",35
"960",29
"961",32
"962",44
"963",32
"964",35
"965",12
"966",12
"967",4
"968",35
"969",32
"970",21
"971",32
"972",3
"973",21
"974",32
"975",35
"976",35
"977",35
"978",35
"979",13
"980",29
"981",35
"982",32
"983",32
"984",32
"985",32
"986",12
"987",35
"988",32
"989",49
"990",35
"991",35
"992",35
"993",35
"994",35
"995",35
"996",27
"997",35
"998",29
"999",4
"1000",32
"1001",47
"1002",49
"1003",44
"1004",32
"1005",35
"1006",32
"1007",32
"1008",39
"1009",39
"1010",32
"1011",32
"1012",49
"1013",32
"1014",3
"1015",35
"1016",11
"1017",24
"1018",29
"1019",32
"1020",35
"1021",49
"1022",29
"1023",13
"1024",47
"1025",18
"1026",29
"1027",12
"1028",13
"1029",32
"1030",4
"1031",46
"1032",4
"1033",32
"1034",32
"1035",32
"1036",32
"1037",29
"1038",47
"1039",35
"1040",17
"1041",13
"1042",3
"1043",4
"1044",32
"1045",3
"1046",22
"1047",21
"1048",49
"1049",39
"1050",32
"1051",49
"1052",32
"1053",29
"1054",4
"1055",40
"1056",32
"1057",21
"1058",17
"1059",21
"1060",17
"1061",32
"1062",11
"1063",32
"1064",14
"1065",32
"1066",47
"1067",35
"1068",35
"1069",12
"1070",32
"1071",8
"1072",14
"1073",32
"1074",1
"1075",32
"1076",32
"1077",32
"1078",18
"1079",32
"1080",32
"1081",33
"1082",12
"1083",18
"1084",21
"1085",21
"1086",18
"1087",44
"1088",32
"1089",37
"1090",21
"1091",13
"1092",49
"1093",13
"1094",3
"1095",35
"1096",32
"1097",32
"1098",4
"1099",17
"1100",29
"1101",7
"1102",4
"1103",12
"1104",47
"1105",22
"1106",29
"1107",21
"1108",37
"1109",21
"1110",32
"1111",29
"1112",17
"1113",35
"1114",4
"1115",12
"1116",32
"1117",35
"1118",37
"1119",13
"1120",32
"1121",37
"1122",32
"1123",29
"1124",35
"1125",32
"1126",12
"1127",50
"1128",32
"1129",32
"1130",32
"1131",13
"1132",35
"1133",3
"1134",29
"1135",4
"1136",44
"1137",47
"1138",32
"1139",13
"1140",21
"1141",4
"1142",17
"1143",32
"1144",24
"1145",32
"1146",3
"1147",47
"1148",3
"1149",3
"1150",32
"1151",49
"1152",22
"1153",21
"1154",32
"1155",3
"1156",37
"1157",29
"1158",47
"1159",3
"1160",36
"1161",46
"1162",12
"1163",32
"1164",3
"1165",34
"1166",22
"1167",32
"1168",46
"1169",35
"1170",35
"1171",37
"1172",21
"1173",4
"1174",22
"1175",17
"1176",3
"1177",32
"1178",22
"1179",23
"1180",32
"1181",32
"1182",32
"1183",35
"1184",32
"1185",32
"1186",35
"1187",40
"1188",32
"1189",32
"1190",32
"1191",35
"1192",35
"1193",46
"1194",32
"1195",3
"1196",32
"1197",35
"1198",4
"1199",32
"1200",9
"1201",17
"1202",35
"1203",21
"1204",4
"1205",12
"1206",32
"1207",46
"1208",32
"1209",50
"1210",32
"1211",32
"1212",35
"1213",35
"1214",32
"1215",37
"1216",3
"1217",32
"1218",46
"1219",46
"1220",32
"1221",32
"1222",32
"1223",3
"1224",3
"1225",32
"1226",32
"1227",22
"1228",35
"1229",32
"1230",21
"1231",32
"1232",41
"1233",30
"1234",32
"1235",35
"1236",21
"1237",32
"1238",33
"1239",12
"1240",49
"1241",13
"1242",22
"1243",35
"1244",29
"1245",32
"1246",32
"1247",4
"1248",32
"1249",35
"1250",49
"1251",32
"1252",24
"1253",37
"1254",32
"1255",32
"1256",32
"1257",46
"1258",3
"1259",21
"1260",32
"1261",29
"1262",40
"1263",17
"1264",4
"1265",32
"1266",31
"1267",32
"1268",32
"1269",35
"1270",14
"1271",32
"1272",41
"1273",17
"1274",20
"1275",15
"1276",37
"1277",31
"1278",31
"1279",37
"1280",4
"1281",29
"1282",4
"1283",13
"1284",37
"1285",32
"1286",47
"1287",32
"1288",37
"1289",31
"1290",37
"1291",35
"1292",29
"1293",12
"1294",32
"1295",17
"1296",32
"1297",32
"1298",32
"1299",20
"1300",49
"1301",32
"1302",32
"1303",32
"1304",32
"1305",19
"1306",35
"1307",37
"1308",12
"1309",32
"1310",32
"1311",48
"1312",35
"1313",37
"1314",32
"1315",3
"1316",32
"1317",32
"1318",31
"1319",29
"1320",35
"1321",4
"1322",3
"1323",37
"1324",32
"1325",35
"1326",32
"1327",31
"1328",4
"1329",32
"1330",37
"1331",29
"1332",6
"1333",31
"1334",4
"1335",31
"1336",32
"1337",32
"1338",32
"1339",12
"1340",20
"1341",3
"1342",32
"1343",20
"1344",2
"1345",32
"1346",14
"1347",32
"1348",31
"1349",37
"1350",32
"1351",17
"1352",32
"1353",32
"1354",4
"1355",12
"1356",37
"1357",32
"1358",15
"1359",37
"1360",24
"1361",50
"1362",32
"1363",32
"1364",18
"1365",32
"1366",37
"1367",32
"1368",32
"1369",21
"1370",32
"1371",17
"1372",13
"1373",29
"1374",17
"1375",3
"1376",31
"1377",37
"1378",12
"1379",32
"1380",37
"1381",37
"1382",32
"1383",37
"1384",37
"1385",32
"1386",32
"1387",12
"1388",6
"1389",32
"1390",32
"1391",32
"1392",33
"1393",3
"1394",4
"1395",32
"1396",17
"1397",37
"1398",32
"1399",32
"1400",3
"1401",46
"1402",3
"1403",12
"1404",27
"1405",27
"1406",32
"1407",40
"1408",32
"1409",12
"1410",4
"1411",32
"1412",21
"1413",27
"1414",32
"1415",4
"1416",17
"1417",4
"1418",29
"1419",32
"1420",32
"1421",4
"1422",32
"1423",17
"1424",48
"1425",50
"1426",29
"1427",11
"1428",40
"1429",32
"1430",12
"1431",35
"1432",32
"1433",32
"1434",32
"1435",32
"1436",32
"1437",37
"1438",32
"1439",49
"1440",37
"1441",32
"1442",4
"1443",32
"1444",32
"1445",48
"1446",4
"1447",32
"1448",27
"1449",22
"1450",32
"1451",32
"1452",32
"1453",40
"1454",12
"1455",17
"1456",32
"1457",32
"1458",17
"1459",36
"1460",33
"1461",35
"1462",40
"1463",32
"1464",32
"1465",32
"1466",49
"1467",35
"1468",32
"1469",29
"1470",40
"1471",32
"1472",32
"1473",4
"1474",4
"1475",12
"1476",32
"1477",32
"1478",37
"1479",32
"1480",32
"1481",40
"1482",32
"1483",32
"1484",17
"1485",32
"1486",27
"1487",32
"1488",33
"1489",12
"1490",4
"1491",12
"1492",50
"1493",40
"1494",11
"1495",4
"1496",32
"1497",32
"1498",9
"1499",48
"1500",12
"1501",24
"1502",17
"1503",32
"1504",21
"1505",32
"1506",4
"1507",17
"1508",4
"1509",32
"1510",32
"1511",32
"1512",29
"1513",33
"1514",32
"1515",33
"1516",32
"1517",32
"1518",24
"1519",33
"1520",33
"1521",47
"1522",4
"1523",32
"1524",37
"1525",32
"1526",4
"1527",32
"1528",17
"1529",32
"1530",4
